Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_3034_1x20mm",38.0000,-32.5000,270.0000,top
"C1","10u","C_0805_2012Metric",60.3000,-108.6500,90.0000,top
"C2","10u","C_0805_2012Metric",60.3000,-103.7500,270.0000,top
"C3","10u","C_0805_2012Metric",96.0000,-109.0500,90.0000,top
"C4","10u","C_0805_2012Metric",96.0500,-118.1000,270.0000,top
"C5","10u","C_0805_2012Metric",81.5000,-114.5000,270.0000,top
"C6","10u","C_0805_2012Metric",64.3000,-110.3500,90.0000,top
"C7","10u","C_0805_2012Metric",62.3000,-110.3500,90.0000,top
"C8","10u","C_0805_2012Metric",64.2900,-113.8000,270.0000,top
"C9","10u","C_0805_2012Metric",62.2900,-113.8000,270.0000,top
"C10","100u","CP_EIA-7343-31_Kemet-D",56.9000,-112.8000,0.0000,top
"C11","100n","C_0805_2012Metric",78.1800,-115.2000,0.0000,top
"C12","1n","C_0805_2012Metric",66.3000,-110.3500,90.0000,top
"C13","10u","C_0805_2012Metric",81.5000,-110.1500,90.0000,top
"C14","10u","C_0805_2012Metric",87.4500,-114.5000,270.0000,top
"C15","10u","C_0805_2012Metric",85.4500,-114.5000,270.0000,top
"C16","10u","C_0805_2012Metric",83.4700,-114.5000,270.0000,top
"C17","10u","C_0805_2012Metric",85.5000,-110.1500,90.0000,top
"C18","10u","C_0805_2012Metric",83.5000,-110.1500,90.0000,top
"C19","100n","C_0805_2012Metric",78.3500,-107.8000,180.0000,top
"C20","1n","C_0805_2012Metric",70.2000,-109.9500,90.0000,top
"C21","1.2n","C_0805_2012Metric",71.1500,-107.2500,180.0000,top
"C22","100n","C_0805_2012Metric",95.9540,-84.8940,0.0000,top
"C23","100n","C_0805_2012Metric",44.8000,-60.0500,45.0000,top
"C24","100n","C_0805_2012Metric",41.2000,-55.3500,45.0000,top
"C25","100n","C_0805_2012Metric",29.2300,-55.7800,135.0000,top
"C26","15p","C_0805_2012Metric",45.3642,-67.0858,315.0000,top
"C27","15p","C_0805_2012Metric",43.9500,-68.5000,315.0000,top
"C28","100n","C_0805_2012Metric",31.8000,-58.4000,135.0000,top
"C29","100n","C_0805_2012Metric",34.2000,-55.1500,135.0000,top
"C30","100n","C_0805_2012Metric",39.1000,-54.3500,45.0000,top
"C31","100n","C_0805_2012Metric",42.0480,-57.3000,45.0000,top
"C32","100n","C_0805_2012Metric",37.8500,-68.7000,315.0000,top
"C33","100n","C_0805_2012Metric",33.2040,-56.9800,135.0000,top
"C34","100n","C_0805_2012Metric",101.4500,-42.4500,180.0000,top
"C35","100n","C_0805_2012Metric",101.5500,-44.6000,180.0000,top
"C36","100n","C_0805_2012Metric",102.1500,-30.7000,90.0000,top
"C37","100n","C_0805_2012Metric",56.5625,-97.8500,180.0000,top
"C38","100n","C_0805_2012Metric",109.2000,-40.6000,0.0000,top
"C39","100n","C_0805_2012Metric",63.5500,-99.7375,180.0000,top
"C40","100uF/25V","CP_Elec_6.3x5.8",87.9900,-104.8700,270.0000,top
"CM1","CM4","Raspberry-Pi-4-Compute-Module",85.5000,-37.5000,180.0000,top
"D1","WS2812B-5mm","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.0000,-47.0000,270.0000,top
"D2","LED R","LED_0805_2012Metric",98.2000,-56.2000,0.0000,top
"D3","LED G","LED_0805_2012Metric",98.2000,-58.4000,0.0000,top
"F1","Fuse","Fuse_2512_6332Metric",99.2000,-111.8500,270.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",29.0000,-22.0000,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",101.0000,-22.0000,0.0000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",29.3777,-117.2160,0.0000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",102.3183,-118.0090,0.0000,top
"IC1","ASM1061","QFN50P700X700X90-49N-D",37.5000,-61.0000,315.0000,top
